          0    0    0
          0    0    4
          0    0   11
          0    0   16
          0    0   22
          0    0   27
          0    0   27
          0    0   32
          0    0   39
          0    0   44
          0    0   49
          0    0   55
          0    0   60
          0    0   65
          0    0   72
          0    0   78
          0    0   83
          0    0   88
          0    0   88
          0    0   94
          0    0  100
          0    0  104
          0    0  111
          0    0  116
          0    0  121
          0    0  128
          0    0  132
          0    0  139
          0    0  144
          0    0  150
          0    0  150
          0    0  156
          0    0  160
          0    0  167
          0    0  172
          0    0  177
          0    0  184
          0    0  188
          0    0  195
          0    0  200
          0    0  206
          0    0  206
          0    0  211
          0    0  216
          0    0  223
          0    0  228
          0    0  233
          0    0  239
          0    0  244
          0    0  249
          0    0  252
          7    0  247
         12    0  241
         12    0  241
         17    0  236
         23    0  231
         28    0  224
         33    0  220
         40    0  214
         46    0  208
         51    0  203
         56    0  196
         62    0  192
         68    0  185
         73    0  180
         73    0  180
         79    0  175
         84    0  168
         89    0  164
         96    0  158
        100    0  152
        107    0  147
        112    0  140
        118    0  136
        124    0  129
        128    0  124
        135    0  119
        135    0  119
        140    0  113
        145    0  108
        152    0  102
        156    0   96
        163    0   91
        168    0   86
        174    0   80
        179    0   75
        184    0   68
        191    0   63
        191    0   63
        196    0   57
        201    0   52
        207    0   47
        212    0   40
        217    0   36
        224    0   30
        230    0   24
        235    0   19
        240    0   12
        246    0    8
        252    0    1
        252    0    1
        255    3    0
        255    8    0
        255   14    0
        255   19    0
        255   24    0
        255   30    0
        255   36    0
        255   41    0
        255   47    0
        255   52    0
        255   57    0
        255   57    0
        255   64    0
        255   68    0
        255   75    0
        255   80    0
        255   86    0
        255   92    0
        255   96    0
        255  103    0
        255  108    0
        255  113    0
        255  113    0
        255  120    0
        255  124    0
        255  131    0
        255  136    0
        255  142    0
        255  148    0
        255  152    0
        255  159    0
        255  164    0
        255  169    0
        255  175    0
        255  175    0
        255  180    0
        255  187    0
        255  192    0
        255  198    0
        255  203    0
        255  208    0
        255  214    0
        255  220    0
        255  225    0
        255  231    0
        255  236    0
        255  236    0
        255  241    0
        255  248    0
        255  252    0
        255  255    4
        255  255    9
        255  255   15
        255  255   20
        255  255   25
        255  255   32
        255  255   36
        255  255   43
        255  255   43
        255  255   48
        255  255   54
        255  255   60
        255  255   64
        255  255   71
        255  255   76
        255  255   81
        255  255   88
        255  255   92
        255  255   99
        255  255   99
        255  255  104
        255  255  110
        255  255  116
        255  255  120
        255  255  127
        255  255  132
        255  255  137
        255  255  143
        255  255  148
        255  255  155
        255  255  160
        255  255  160
        255  255  166
        255  255  171
        255  255  176
        255  255  182
        255  255  188
        255  255  193
        255  255  199
        255  255  204
        255  255  209
        255  255  216
        255  255  222
        255  255  222
        255  255  227
        255  255  232
        255  255  238
        255  255  244
        255  255  248
