          0    0   84
          0    0   87
          1    1   88
          4    4   92
          6    6   95
          7    7   99
          7    7   99
          8    8  100
          9    9  102
         12   12  107
         12   12  108
         14   14  112
         16   16  113
         16   16  116
         19   19  120
         19   19  121
         20   20  127
         23   23  128
         23   23  128
         24   24  131
         24   24  134
         25   25  136
         28   28  140
         30   30  142
         31   31  144
         32   32  148
         32   32  150
         36   36  153
         36   36  156
         38   38  159
         38   38  159
         39   39  163
         40   40  164
         43   43  168
         44   44  171
         44   44  172
         46   46  176
         48   48  177
         49   49  183
         51   51  184
         51   51  185
         51   51  185
         52   52  191
         55   55  192
         56   56  196
         56   56  198
         57   57  200
         60   60  204
         62   62  206
         63   63  209
         64   64  212
         64   64  215
         68   68  217
         68   68  217
         68   68  220
         70   70  224
         71   71  227
         72   72  228
         75   75  232
         76   76  235
         76   76  238
         78   78  240
         80   80  241
         81   81  247
         81   81  248
         81   81  248
         84   84  252
          0   84    0
          0   87    0
          4   89    4
          4   92    4
          6   96    6
          7   99    7
          8  100    8
         11  104   11
         12  107   12
         12  110   12
         12  110   12
         14  112   14
         16  113   16
         17  119   17
         19  120   19
         20  124   20
         20  127   20
         23  128   23
         24  132   24
         24  134   24
         27  139   27
         27  139   27
         28  140   28
         30  142   30
         31  145   31
         32  148   32
         33  152   33
         36  153   36
         36  156   36
         38  160   38
         39  163   39
         41  166   41
         43  168   43
         43  168   43
         44  171   44
         44  174   44
         46  176   46
         48  180   48
         49  183   49
         51  184   51
         52  188   52
         52  191   52
         56  195   56
         56  196   56
         56  198   56
         56  198   56
         59  203   59
         60  204   60
         63  208   63
         63  209   63
         64  212   64
         67  216   67
         68  217   68
         70  223   70
         70  224   70
         71  227   71
         71  227   71
         73  230   73
         75  232   75
         76  236   76
         76  238   76
         78  240   78
         80  244   80
         81  247   81
         83  249   83
         84  252   84
         84    0    0
         88    1    1
         88    1    1
         89    4    4
         95    6    6
         96    6    6
         99    7    7
        102    9    9
        104   11   11
        108   12   12
        110   12   12
        112   14   14
        116   16   16
        119   17   17
        119   17   17
        121   19   19
        124   20   20
        127   20   20
        131   24   24
        132   24   24
        136   25   25
        139   27   27
        140   28   28
        144   31   31
        145   31   31
        150   32   32
        150   32   32
        152   33   33
        153   36   36
        159   38   38
        160   38   38
        164   40   40
        166   41   41
        168   43   43
        172   44   44
        174   44   44
        177   48   48
        177   48   48
        180   48   48
        183   49   49
        185   51   51
        188   52   52
        192   55   55
        195   56   56
        196   56   56
        200   57   57
        203   59   59
        206   62   62
        208   63   63
        208   63   63
        209   63   63
        215   64   64
        216   67   67
        220   68   68
        223   70   70
        224   70   70
        228   72   72
        230   73   73
        235   76   76
        236   76   76
        238   76   76
        238   76   76
        241   80   80
        244   80   80
        248   81   81
        249   83   83
        255   84   84
