          0    0    0
         44   44   44
         55   54   56
         62   60   64
         68   65   71
         72   70   76
         72   70   76
         75   72   80
         78   75   86
         80   76   88
         81   79   92
         83   80   96
         83   80  100
         84   80  103
         83   81  104
         83   81  108
         81   81  110
         81   83  112
         81   83  112
         81   84  115
         80   84  116
         80   86  120
         80   87  121
         80   88  124
         79   88  126
         78   91  127
         76   92  128
         76   94  131
         75   96  132
         73   96  134
         73   96  134
         72  100  136
         71  102  137
         70  104  139
         68  105  140
         67  108  142
         65  112  144
         64  115  144
         63  118  147
         62  120  148
         60  124  148
         60  124  148
         59  128  151
         56  132  152
         55  136  152
         54  140  155
         52  144  156
         51  148  156
         48  152  158
         47  158  160
         46  160  159
         44  161  156
         43  163  152
         43  163  152
         40  164  150
         39  164  147
         38  166  143
         36  167  139
         35  168  135
         32  169  131
         31  171  127
         30  172  123
         28  172  118
         27  174  112
         25  175  108
         25  175  108
         24  176  103
         23  176   97
         20  177   92
         20  179   87
         19  179   80
         16  180   76
         16  180   70
         15  182   64
         14  183   57
         12  184   51
         12  184   44
         12  184   44
          9  185   38
          8  187   32
          8  188   24
          8  188   19
          7  188   12
          7  190    6
         12  191    4
         17  192    4
         23  192    4
         28  192    3
         28  192    3
         35  193    1
         40  195    1
         47  196    0
         54  196    0
         60  196    0
         67  198    0
         72  199    0
         80  200    0
         87  200    0
         94  200    0
        100  201    0
        100  201    0
        108  203    0
        115  203    0
        121  204    0
        128  204    0
        136  206    0
        144  206    0
        152  207    0
        159  208    0
        166  208    1
        174  208    3
        180  209    3
        180  209    3
        188  209    4
        196  211    4
        204  212    6
        211  212    7
        212  207    8
        214  200    8
        214  195    9
        215  188   11
        216  183   12
        216  176   14
        216  176   14
        216  172   15
        217  166   16
        217  160   17
        219  153   20
        220  148   20
        220  143   23
        220  137   24
        220  132   27
        222  127   28
        223  121   31
        223  118   32
        223  118   32
        224  112   35
        224  108   36
        224  104   39
        225   99   41
        225   95   44
        227   91   47
        227   87   48
        228   84   52
        228   80   55
        228   76   56
        230   73   60
        230   73   60
        230   71   63
        231   68   65
        231   68   72
        232   72   80
        232   75   88
        232   78   96
        233   80  104
        233   84  112
        235   88  120
        235   92  127
        236   95  134
        236   95  134
        236   97  142
        236  102  148
        238  105  156
        238  108  161
        239  112  168
        239  116  175
        240  120  182
        240  124  187
        240  128  192
        240  132  199
        240  132  199
        241  136  204
        241  140  208
        243  144  214
        243  148  219
        244  152  223
        244  156  228
        244  161  232
        244  166  235
        246  169  239
        246  175  241
        247  179  244
        247  179  244
        247  184  247
        246  188  248
        244  192  248
        243  198  248
        243  201  248
        241  207  249
        241  211  249
        243  216  251
        243  220  251
        244  225  252
        244  230  252
        244  230  252
        246  235  252
        248  240  252
        249  244  254
        252  249  254
        255  255  255
